test,elevator_id,line,parent_station,Station (for Betsy),children_ids_served,elevator_type,escalator_direction,facility_name,alternate_elevator_ids,alternate_service_long_text,Entering System Categorization,Exiting System Categorization,What station to EXIT at,Short Text,Questions/Notes,Is direction important?,Is the line/mode important?,secondary_alternate_service_text,elevator_name,alternate_service_short_text,facility_lat,facility_lon
70,977,G,place-coecl,Copley,70155;door-coecl-church,Elevator,,"Kenmore & West, Heath Street platform to Boylston Street","976, 962, 963, 920, 921, 972, 971","To exit a Boston College, Cleveland Circle or Riverside-bound train, exit the train at Kenmore and proceed to the eastbound platform, then take an eastbound train to Copley and use Copley Elevator 976. To exit a Heath Street-bound train, exit the train at Prudential and proceed to the eastbound platform, then take an eastbound train to Copley and use Copley Elevator 976. To board, cross Boylston St and use Copley Elevator 976 to access the eastbound platform.  Take a eastbound train to Arlington, then proceed to the westbound platform and transfer to a westbound train.",3A - Backtrack,3A - Backtrack,"Kenmore, Prudential",,Two possible options,YES,YES,,COPLEY - Outbound Platform to Street,Copley Elevator 977 (outbound platform to street) is not working. See www.mbta.com for alt service.,,
18,939,S,place-crtst,Courthouse,74612;74616;door-crtst-south,Elevator,,"Lobby to Seaport Boulevard, Thomson Place",940,"To exit, use Courthouse Elevator 940 located at the opposite side of the lobby. To board, cross Seaport Blvd at Thomson Pl and use Courthouse Elevator 940.",2 - Accessible route available,2 - Accessible route available,,,,,,,COURTHOUSE - Lobby to South Headhouse on Seaport Blvd,Courthouse Elevator 939 (lobby to south headhouse on Seaport Boulevard) is not working. Use Courthouse Elevator 940.,,
19,940,S,place-crtst,Courthouse,74612;74616;door-crtst-north,Elevator,,"Lobby to Seaport Boulevard, Fan Pier Boulevard",939,"To exit, use Courthouse Elevator 939 located at the opposite side of the lobby. To board, cross Seaport Blvd at Fan Pier Blvd and use Courthouse Elevator 939.",2 - Accessible route available,2 - Accessible route available,,,,,,,COURTHOUSE - Lobby to North Headhouse on Seaport Blvd and Stillings,Courthouse Elevator 940 (lobby to north headhouse on Seaport Boulevard) is not working. Use Courthouse Elevator 939.,,
52,937,S,place-crtst,Courthouse,74616,Elevator,,South Station platform to lobby,"938, 935, 936, 901, 918, 919, 927","To exit, exit the bus at South Station and proceed to the Airport/Design Center/Chelsea platform, then take an SL1, SL2 or SL3 bus outbound to Courthouse and use Courthouse Elevator 938. To board, use Courthouse Elevator 938 to access the Airport/Design Center/Chelsea platform. Take an SL1, SL2 or SL3 bus outbound to World Trade Center, then proceed to the South Station platform and transfer to an inbound SL1, SL2 or SL3 bus.",3A - Backtrack,3A - Backtrack,South Station,,,,,,COURTHOUSE - South Station bound Platform to Lobby,Courthouse Elevator 937 (lobby to South Station-bound platform) is not working. See www.mbta.comfor alt service.,,
53,938,S,place-crtst,Courthouse,74612,Elevator,,Airport/Design Center/Chelsea platform to lobby,"937, 935, 936, 901, 918, 919, 927","To exit, exit the bus at World Trade Center and proceed to the South Station platform, then take an SL1, SL2 or SL3 bus inbound to Courthouse and use Courthouse Elevator 937. To board, use Courthouse Elevator 937 to access the South Station platform. Take an SL1, SL2 or SL3 bus inbound to South Station, then proceed to the Airport/Design Center/Chelsea platform and transfer to an outbound SL1, SL2 or SL3 bus.",3A - Backtrack,3A - Backtrack,World Trade Center,,,,,,COURTHOUSE - Outbound Platform to Lobby,Courthouse Elevator 938 (lobby to outbound platform) is not working. See www.mbta.com for alt service.,,
8,816,R,place-davis,Davis,70063;70064,Elevator,,Platform to lobby,"821, 973","A shuttle bus will be available to transport customers between Harvard and Davis. To exit, exit the train at Harvard and find station personnel or use a station call box to request the shuttle bus to Davis. To board, find station personnel or use a station call box at Davis to request the shuttle bus to Harvard. Alternatively, customers may also use Bus Route 96 for transportation between Harvard and Davis.",3B - Shuttle Bus,3B - Shuttle Bus,Harvard,,Additonal local bus routes,,,,DAVIS - Platform to Lobby,Davis Square Elevator 816 (platform to lobby) is not working. See www.mbta.comfor alt service.,,
9,817,R,place-davis,Davis,70063;70064;door-davis-busway,Elevator,,Lobby to College Avenue,"821, 973","A shuttle bus will be available to transport customers between Harvard and Davis. To exit, exit the train at Harvard and find station personnel or use a station call box to request the shuttle bus to Davis. To board, find station personnel or use a station call box at Davis to request the shuttle bus to Harvard. Alternatively, customers may also use the Route 96 bus for transportation between Harvard and Davis.",3B - Shuttle Bus,3B - Shuttle Bus,Harvard,,Additonal local bus routes,,,,DAVIS - Lobby to Street,Davis Square Elevator 817 (lobby to street) is not working. See www.mbta.comfor alt service.,,
31,891,O,place-dwnxg,Downtown Crossing,70078;door-dwnxg-hawley,Elevator,,Oak Grove platform to Franklin Street,,"To exit, travel down the Summer St concourse towards the Charlie Card Store and Red Line, then turn left through the set of glass doors located next to the Charlie Card Store. Continue to the elevator that connects to the 101 Arch St lobby, then proceed to the Summer St exit. To board, travel to 101 Arch St on Summer St (across from Macy's) and use the elevator located in the rear-left corner of the lobby of access the Summer St concourse. At the concourse, turn right and proceed to the Oak Grove platform.",2 - Accessible route available,2 - Accessible route available,,,"Ideally, concourse situations would have to be review",YES,,,DOWNTOWN CROSSING - Oak Grove Platform to Franklin & Washington Sts,,,
32,892,O,place-dwnxg,Downtown Crossing,70020;70021;70077;70078;door-dwnxg-winter,Elevator,,"Forest Hills platform to Washington Street, Winter Street",804,"To exit, travel up the Winter St concourse towards Park Street. At the end of the concourse, exit through the faregate and use Park Street Elevator 804 to access the corner of Tremont St and Winter St. To board, travel up Winter St towards the Boston Common to the corner of Tremont St and Winter St and use Park Street Elevator 804 to access the Winter St concourse. At the concourse, turn right and proceed to the Forest Hills platform.",2 - Accessible route available,2 - Accessible route available,,,"Ideally, concourse situations would have to be review",YES,,,DOWNTOWN CROSSING - Forest Hills Platform to Winter & Washington Sts,Downtown Crossing Elevator 892 (platform to Winter and Washington Streets) is not working. Use Park St Elevator 804 at Park and Winter Sts.,,
34,998,O,place-dwnxg,Downtown Crossing,70021;70078,Elevator,,Oak Grove platform to Alewife platform,"999, 869",Please use nearby Downtown Crossing Elevator 999.,1 - Nearby,1 - Nearby,,,,,,,DOWNTOWN CROSSING - Oak Grove Platform to Red Line Alewife Platform,Please use adjacent Downtown Crossing Elevator 999.,,
35,999,O,place-dwnxg,Downtown Crossing,70021;70078,Elevator,,Oak Grove platform to Alewife platform,"998, 869",Please use nearby Downtown Crossing Elevator 998.,1 - Nearby,1 - Nearby,,,,,,,DOWNTOWN CROSSING - Oak Grove Platform to Red Line Alewife Platform,Please use adjacent Downtown Crossing Elevator 998.,,
27,869,R,place-dwnxg,Downtown Crossing,70078;door-dwnxg-summer;door-dwnxg-summereast;door-dwnxg-macys;door-dwnxg-rochebros;door-dwnxg-101arch,Elevator,,Alewife platform to Summer Street Concourse,"998, 999","To exit, travel to the north end of the platform to the Orange Line-Red Line passageway and use Downtown Crossing Elevator 998 or 999 to access the Orange Line Oak Grove platform. To board the Red Line, travel down the Downtown Crossing Summer St concourse to the Orange Line Oak Grove platform and use Downtown Crossing Elevator 998 or 999 to access the Orange Line-Red Line passageway.",2 - Accessible route available,2 - Accessible route available,,,"Ideally, concourse situations would have to be review",YES,,,DOWNTOWN CROSSING - Alewife Bound Platform to Concourse,Downtown Crossing Elevator 869 (Alewife-bound platform) is not working. See www.mbta.com for alt service.,,
28,870,R,place-dwnxg,Downtown Crossing,70077;door-dwnxg-summer;door-dwnxg-summereast;door-dwnxg-macys;door-dwnxg-rochebros;door-dwnxg-101arch,Elevator,,Ashmont/Braintree platform to Summer Street Concourse,"979, 978","To exit, exit the train at Park Street onto the Red Line center platform and use Park Street Elevator 979 to access the Green Line westbound platform. At the Green Line platform, exit through the faregates and use Park Street Elevator 978 to access the Boston Common. To board the Red Line, take an Alewife-bound train to Park Street, exit onto the center platform, and transfer to an Ashmont/Braintree-bound train.",3 - Use a different station,3 - Use a different station,Park Street,,,,YES,,DOWNTOWN CROSSING - Ashmont/Braintree Bound Platform to Concourse,Downtown Crossing Elevator 870 (Ashmont-/Braintree-bound platform) is not working. See www.mbta.comfor alt service.,,
47,928,COMM,place-ER-0115,,ER-0115;ER-0115-01;ER-0115-02,Elevator,,Platform to lobby,,Please contact station personnel or conductor for assistance.,4A - CR call for assistance,4A - CR call for assistance,,,,,,,LYNN COMMUTER RAIL - Platform to Lobby,Lynn Elevator 928 (commuter rail platform to street) is not working. Please contact station personnel or conductor for alt service.,,
25,929,COMM,place-ER-0115,,ER-0115;ER-0115-01;ER-0115-02,Elevator,,Street to parking garage,930,Please nearby Lynn Elevator 930.,1 - Nearby,1 - Nearby,,,,,,,LYNN PARKING GARAGE,Lynn Elevator 929 (parking garage) is not working. Please use Lynn Parking Garage Elevator 930.,,
26,930,COMM,place-ER-0115,,ER-0115;ER-0115-01;ER-0115-02,Elevator,,Street to parking garage,929,Please nearby Lynn Elevator 929.,1 - Nearby,1 - Nearby,,,,,,,LYNN PARKING GARAGE,Lynn Elevator 930 (parking garage) is not working. Please use Parking Garage Elevator 929.,,
32,996,COMM,place-ER-0168,,37150;ER-0168-S,Elevator,,Bridge St to parking garage to busway and platforms,997,Please use nearby Salem Elevator 997.,1 - Nearby,1 - Nearby,,,,,,,,,,
33,997,COMM,place-ER-0168,,37150;ER-0168-S,Elevator,,Bridge St to parking garage to busway and platforms,996,Please use nearby Salem Elevator 996.,1 - Nearby,1 - Nearby,,,,,,,,,,
30,994,COMM,place-ER-0183,,ER-0183;ER-0183-01;ER-0183-02,Elevator,,Parking garage to platform walkway,995,Please use nearby Beverly Elevator 995.,1 - Nearby,1 - Nearby,,,,,,,,,,
31,995,COMM,place-ER-0183,,ER-0183;ER-0183-01;ER-0183-02,Elevator,,Parking garage to platform walkway,994,Please use nearby Beverly Elevator 994.,1 - Nearby,1 - Nearby,,,,,,,,,,
61,957,R,place-fldcr,Fields Corner,70090,Elevator,,Paid lobby to Alewife platform,"958, 953, 954","To exit, exit the train at Savin Hill, then take an Ashmont-bound train to Fields Corner and use Fields Corner Elevator 958. To board, use Fields Corner Elevator 958 to access the Ashmont platform. Take an Ashmont-bound train to Shawmut, then transfer to an Alewife-bound train. ",3A - Backtrack,3A - Backtrack,Savin Hill,,,,,,FIELDS CORNER - Alewife Bound Platform to Lobby,Fields Corner Elevator 957 (Alewife-bound platform to lobby) is not working. See www.mbta.com for alt service.,,
62,958,R,place-fldcr,Fields Corner,70089,Elevator,,Paid lobby to Ashmont platform,"953, 964, 957","To exit, exit the train at Shawmut, then take an Alewife-bound train to Fields Corner and use Fields Corner Elevator 957. To board, use Fields Corner Elevator 957 to access the Alewife platform. Take an Alewife-bound train to Savin Hill, then transfer to an Ashmont-bound train.",3A - Backtrack,3A - Backtrack,Shawmut,,,,,,FIELDS CORNER - Ashmont Bound Platform to Lobby,Fields Corner Elevator 958 (Ashmont-bound platform to lobby) is not working. See www.mbta.com for alt service.,,
10,841,"O, COMM",place-forhl,Forest Hills,NEC-2237;NEC-2237-03;NEC-2237-05,Elevator,,Commuter Rail platform to lobby,"850, 849, 853, 854, 855, 856,724","Please see station personnel or a train conductor for assistance. To exit, exit the train at Ruggles or Back Bay, then take a Forest Hills-bound train to Forest Hills and use Forest Hills Elevator 842. To board, use Forest Hills Elevator 842 to access the Orange Line platform, then take a Oak Grove-bound train to Ruggles or Back Bay and transfer to the Commuter Rail. Check the Commuter Rail train schedules for train arrival/departure times at Ruggles and Back Bay by visiting mbta.com/schedules.",3D - CR switch to subway,3D - CR switch to subway,"Ruggles, Forest Hills",,,,,"Please see station personnel or a train conductor for assistance. To exit, exit the train at Back Bay, then take a Forest Hills-bound train to Forest Hills and use Forest Hills Elevator 842. To board, use Forest Hills Elevator 842 to access the Orange Line platform, then take a Oak Grove-bound train to Back Bay and transfer to the Commuter Rail. Check the Commuter Rail train schedules for train arrival/departure times at Ruggles and Back Bay by visiting mbta.com/schedules.",FOREST HILLS - Commuter Rail Platform to Lobby,Forest Hills Elevator 841 (commuter Rail platform to lobby) is not working. Contact station personnel or train conductor for assistance.,,
8,724,O,place-forhl,Forest Hills,70001;Forest Hills-01;Forest Hills-02;door-forhl-south,Elevator,,Orange Line platform to Southwest Corridor Park lobby,842,"To exit, use Forest Hills Elevator 842 located at the opposite end of the platform to access the main lobby. To board, travel to the intersection of Arborway and Washington St, and turn left on Washington St. Proceed on Washington St to main station entrance and use Forest Hills Elevator 842.",2A - Platform,2A - Platform,,,,,,,FOREST HILLS - Orange Line Platform to Southwest Corridor Park lobby,,,
23,842,O,place-forhl,Forest Hills,70001;Forest Hills-01;Forest Hills-02,Elevator,,Orange Line platform to main upper lobby,724,"To exit, use Forest Hills Elevator 724 located at the opposite end of the platform to access the Southwest Corridor Park lobby. To board, use the Washington St exit, turn right and proceed to the intersection of Washington St and Arborway. Cross Arborway, turn right, then continue to the Southwest Corridor Park entrance and use Forest Hills Elevator 724.",2A - Platform,2A - Platform,,,,,,,FOREST HILLS - Orange Line Platform to Lobby,Forest Hills Elevator 842 (Orange Line platform to lobby) is not working. See www.mbta.com for alt service.,,
24,843,O,place-forhl,Forest Hills,875;door-forhl-lowers;door-forhl-lowern,Elevator,,Lower busway to upper lobby,,"To exit, use the Arborway exit, turn right and travel across the plaza towards Hyde Park Ave. At Hyde Park Ave, turn right onto the pathway that leads to the Lower Busway. To board, exit the busway, turn left onto Hyde Park Ave and travel up the ramp towards Arborway. At Arborway, turn left and proceed across the plaza to the station entrance. Please find station personnel or use a station call box or for assistance navigating between the lobby and lower busway.",2 - Accessible route available,2 - Accessible route available,,,,,,,FOREST HILLS - Lobby to Busway,Forest Hills Elevator 843 (lobby to lower busway) is not working. Contact station personnel for assistance.,,
6,765,G,place-gilmn,Gilman Square,70505;70506;door-gilmn-medford,Elevator,,Platform to Medford Street lobby,766,"To exit, use Gilman Square Elevator 766 located at the opposite end of the platform to access School St. To board, travel north along the Community Path to the School St entrance and use Gilman Square Elevator 766.",2A - Platform,2A - Platform,,,,,,,,,42.387695,-71.096277
7,766,G,place-gilmn,Gilman Square,70505;70506;door-gilmn-school,Elevator,,Platform to School Street lobby,765,"To exit, use Gilman Square Elevator 765 located at the opposite end of the platform to access the Community Path and Medford St. To board, travel south along the Community Path to the Medford St entrance and use Gilman Square Elevator 765.",2A - Platform,2A - Platform,,,,,,,,,42.388245,-71.097497
6,722,B,place-gover,Government Center,70039;70040,Elevator,,Blue Line platform to Green Line platform,723,Please use nearby Government Center Elevator 723.,1 - Nearby,1 - Nearby,,,,,,,GOVERNMENT CENTER - Green Line to Blue Line,Government Center Elevator 722 (Green Line platform to Blue Line platform) is not working. Use Government Center Elevator 723.,,
7,723,B,place-gover,Government Center,70039;70040,Elevator,,Blue Line platform to Green Line platform,722,Please use nearby Government Center Elevator 722.,1 - Nearby,1 - Nearby,,,,,,,GOVERNMENT CENTER - Green Line to Blue Line,Government Center Elevator 723 (Green Line platform to Blue Line platform) is not working. Use Government Center Elevator 722.,,
4,720,G,place-gover,Government Center,70039;70040;70201;70202;Government Center-Brattle;door-gover-main,Elevator,,Green Line platform to street,721,Please use nearby Government Center Elevator 721.,1 - Nearby,1 - Nearby,,,,,,,GOVERNMENT CENTER - Street Level to Green Line,Government Center Elevator 720 (lobby to Green Line platform) is not working. Use Government Center Elevator 721.,,
5,721,G,place-gover,Government Center,70039;70040;70201;70202;Government Center-Brattle;door-gover-main,Elevator,,Green Line platform to street,720,Please use nearby Government Center Elevator 720.,1 - Nearby,1 - Nearby,,,,,,,GOVERNMENT CENTER - Street Level to Green Line,Government Center Elevator 721 (lobby to Green Line platform) is not working. Use Government Center Elevator 720.,,
11,844,O,place-grnst,Green Street,70002;70003;door-grnst-main,Elevator,,Platform to paid lobby,842,"A shuttle bus will be available to transport customers between Green Street and Forest Hills. To exit, exit the train at Forest Hills and find station personnel or use a station call box to request the shuttle bus to Green Street. To board, find station personnel or use a station call box at Green Street to request the shuttle bus to Forest Hills.",3B - Shuttle Bus,3B - Shuttle Bus,Forest Hills,,,,,,GREEN STREET - Orange Line Platform to Lobby,Green Street Elevator 844 (Orange Line platform to lobby) is not working. See www.mbta.com for alt service.,,
39,908,G,place-haecl,Haymarket,70203;70204;door-haym-busway,Elevator,,"Green Line lobby to busway, Sudbury Street, New Chardon Street","904, 905, 906, 907, 903","To exit the Green Line, take Haymarket Elevator 906 to the Orange Line underpass, then proceed to Haymarket Elevator 905 to access the Forest Hills platform. At the Forest Hills platform, use Haymarket Elevator 904 for access the Congress St lobby. To board the Green Line, travel to the intersection of New Sudbury St and Congress St, and turn left on Congress St. Proceed on Congress St to the Congress St lobby and use Haymarket Elevator 903 to access the Oak Groves platform. At the Oak Grove platform, proceed to the end of platform and take Haymarket Elevator 907 to the Orange Line underpass, then proceed to the end of the hallway and use Haymarket Elevator 906 to access the Green Line platform. To board or exit the Orange Line, use Elevators 903 (Oak Grove platform) or 904 (Forest Hills platform) to access the Congress St lobby.",2D - Daisy chain,2D - Daisy chain,,,,,YES,,"HAYMARKET - Green Line Lobby to Busway, New Sudbury & New Chardon Streets","Haymarket Elevator 908 (Green Line lobby to busway, New Sudbury and Chardon Streets) is not working. See www.mbta.com for alt service.",,
34,903,"O, G",place-haecl,Haymarket,70025;70203;70204;door-haym-congress,Elevator,,Oak Grove platform to Congress Street lobby,"904, 905, 906, 907, 908","To exit, take Haymarket Elevator 907 to the Orange Line underpass, then proceed to the end of the hallway and use Haymarket Elevator 906 to access the Green Line platform. At the Green Line platform, turn right and proceed to the lobby and use Haymarket Elevator 908 to access the busway. To board the Orange Line, take Haymarket Elevator 904 to the Forest Hills platform, then proceed to the end of the platform and use Haymarket Elevator 905 to access the Orange Line underpass. At the underpass, use Haymarket Elevator 907 to access the Oak Grove platform.",2D - Daisy chain,2D - Daisy chain,,,,,,,HAYMARKET - Oak Grove Platform to Lobby at Congress St,Haymarket Elevator 903 (Oak Grove Orange Line platform to Congress Street lobby) is not working. See www.mbta.com for alt service.,,
35,904,"O, G",place-haecl,Haymarket,70024;70203;70204;door-haym-congress,Elevator,,Forest Hills platform to Congress Street lobby,"903, 905, 906, 907, 908","To exit, take Haymarket Elevator 905 to the Orange Line underpass, then proceed to the end of the hallway and use Haymarket Elevator 906 to access the Green Line platform. At the Green Line platform, turn right and proceed to the lobby and use Haymarket Elevator 908 to access the busway. To board the Orange Line, take Haymarket Elevator 903 to the Oak Grove platform, then proceed to the end of the platform and use Haymarket Elevator 907 to access the Orange Line underpass.  At the underpass, use Haymarket Elevator 905 to access the Forest Hills platform.",2D - Daisy chain,2D - Daisy chain,,,,,,,HAYMARKET - Forest Hills Platform to Lobby at Congress St,Haymarket Elevator 904 (Forest Hills Orange Line platform to Congress Street lobby) is not working. See www.mbta.com for alt service.,,
36,905,"O, G",place-haecl,Haymarket,70024;70203;70204,Elevator,,Underpass to Forest Hills platform,"904, 903, 906, 907, 908","To board or exit, use Haymarket Elevator 904 to travel between the Forest Hills platform and the Congress St. lobby. To transfer to the Green Line, take Haymarket Elevator 904 to the Congress St lobby, then use Haymarket Elevator 903 to access the Oak Grove platform. At the Oak Grove platform, proceed to the end of platform and take Haymarket Elevator 907 to the Orange Line underpass, then proceed to the end of the hallway and use Haymarket Elevator 906 to access the Green Line platform.",2D - Daisy chain,2D - Daisy chain,,,,,YES,,HAYMARKET - Forest Hills Platform to Underpass,Haymarket Elevator 905 (Forest Hills Orange Line platform to underpass) is not working. See www.mbta.comfor alt service.,,
37,906,"O, G",place-haecl,Haymarket,70024;70025;70203;70204,Elevator,,"Underpass to Green Line platforms, busway","903, 904, 905, 907, 908","To board or exit the Green Line, use Haymarket Elevator 908 to travel between the Green Line lobby and the busway located at Sudbury St and New Chardon St. To board or exit the Orange Line, use Elevators 903 (Oak Grove platform) or 904 (Forest Hills platform) to access the Congress St lobby.",2 - Accessible route available,2 - Accessible route available,,,,,Yes,,HAYMARKET - Green Line Platform to Orange Line Underpass,Haymarket Elevator 906 (Green Line platform to Orange Line underpass) is not working. See www.mbta.comfor alt service.,,
38,907,"O, G",place-haecl,Haymarket,70025;70203;70204,Elevator,,Underpass to Oak Grove platform,"903, 904, 905, 906, 908","To board or exit, use Haymarket Elevator 903 to travel between the Oak Grove platform and the Congress St lobby. To transfer to the Green Line, take Haymarket Elevator 903 to the Congress St lobby, then use Haymarket Elevator 904 to access the Forest Hills platform. At the Forest Hills platform, proceed to the end of platform and take Haymarket Elevator 905 to the Orange Line underpass, then proceed to the end of the hallway and use Haymarket Elevator 906 to access the Green Line platform.",2D - Daisy chain,2D - Daisy chain,,,,,,,HAYMARKET - Oak Grove Platform to Orange Line Underpass,Haymarket Elevator 907 (Oak Grove Orange Line platform to underpass) is not working. See www.mbta.com for alt service.,,
12,821,R,place-harsq,Harvard,70006;70007;2076;20761;door-harsq-square,Elevator,,Lobby to Harvard Square,973,"To exit, use Harvard Elevator 973 located at the end of upper busway. To board, use Harvard Elevator 973 located at the corner of Brattle St and Brattle Sq.",2 - Accessible route available,2 - Accessible route available,,,,,,,HARVARD - Main Lobby to Harvard Square,Harvard Sq Elevator 821 (lobby to street) is not working. Use Harvard Sq Elevator 973 at end of upper busway (Brattle Sq).,,
26,973,R,place-harsq,Harvard,70006;70007;2076;20761;door-harsq-brattle,Elevator,,Upper busway to Brattle Square,821,"To exit, use Harvard Elevator 821 located in the main lobby. To board, use Harvard Elevator 821 located at the corner of JFK St, Brattle St and Mass Ave (Harvard Sq).",2 - Accessible route available,2 - Accessible route available,,,,,,,HARVARD - Upper Busway to Brattle Street,"Harvard Sq Elevator 973 (upper busway to street) is not working. Use Harvard Sq Elevator 821 at lobby (JFK St., Brattle St., & Mass Ave).",,
13,846,O,place-jaksn,Jackson Square,70006;70007;door-jaksn-centre;door-jaksn-busway;door-jaksn-park;door-jaksn-main,Elevator,,Platform to paid lobby,"845, 847","A shuttle bus will be available to transport customers between Jackson Square and Stony Brook. To exit, exit the train at Stony Brook and find station personnel or use a station call box to request the shuttle bus to Jackson Square. To board, find station personnel or use a station call box at Jackson Square to request the shuttle bus to Stony Brook. Alternatively, customers may also use Bus Route 22 for transportation between Jackson Square and Roxbury Crossing.",3B - Shuttle Bus,3B - Shuttle Bus,Stony Brook,,Additonal local bus routes,,,,JACKSON SQUARE - Orange Line Platform to Lobby,Jackson Square Elevator 846 (Orange Line platform to lobby) is not working. See www.mbta.com for alt service.,,
20,830,R,place-jfk,JFK/UMass,70095;70096,Elevator,,Braintree branch platform to lobby,"831, 880, 879","To exit when coming from Boston/Cambridge, take an Ashmont-bound train to JFK/UMass, exit onto the Ashmont platform, and use JFK/UMass Elevator 831. To exit when coming from Quincy/Braintree, exit the train at Andrew, then take an Ashmont-bound train to JFK/UMass and use JFK/UMass Elevator 831. To board, use JFK/UMass Elevator 831 to access the Ashmont Branch platform. Take an Alewife-bound train to Andrew, then transfer to an Ashmont-bound train.",3A - Backtrack,3A - Backtrack,JFK/UMass or Andrew,,Might be worth revisiting,YES,,,JFK/UMASS - Braintree Bound Platform to Lobby,JFK/UMass Elevator 830 (Braintree-bound platform to lobby) is not working. See www.mbta.com for alt service.,,
21,831,R,place-jfk,JFK/UMass,70095;70096,Elevator,,Ashmont branch platform to lobby,"830, 880, 879","To exit when coming from Boston/Cambridge, take a Braintree-bound train to JFK/UMass, exit onto the Braintree platform, and use JFK/UMass Elevator 830. To exit when traveling from Quincy/Braintree, exit the train at Andrew, then take a Braintree-bound train to JFK/UMass and use JFK/UMass Elevator 830. To board, use JFK/UMass Elevator 830 to access the Braintree Branch platform. Take an Alewife-bound train to Andrew, then transfer to an Braintree-bound train.",3A - Backtrack,3A - Backtrack,Braintree or JFK/UMass,,Might be worth revisiting,YES,,,JFK/UMASS - Ashmont Bound Platform to Lobby,JFK/UMass Elevator 831 (Ashmont-bound platform to lobby) is not working. See www.mbta.com for alt service.,,
67,971,G,place-kencl,Kenmore,70151;71151,Elevator,,Westbound platform to lobby,"972, 948, 976, 977","To exit when traveling on a Cleveland Circle or Riverside-bound train, exit the train at the first stop after Kenmore. Proceed to the eastbound platform, then take an eastbound train to Kenmore and use Kenmore Elevator 972. To exit when traveling on a Boston College-bound train, exit the train at Boston University East. Proceed to the eastbound platform, then take an eastbound train to Kenmore and use Kenmore Elevator 972. To board, use Kenmore Elevator 972 to access the eastbound platform.  Take a eastound train to Copley, then cross Boylston St to the westbound platform and transfer to an westbound train. See station personnel at the Copley westbound lobby to gain entry at the faregate.",3A - Backtrack,3A - Backtrack,"St. Mary's St, Fenway or BU East",,,YES,YES - because GL branches,,KENMORE - Outbound Platform to Lobby,Kenmore Elevator 971 (outbound platform to lobby) is not working. See www.mbta.com for alt service.,,
68,972,G,place-kencl,Kenmore,70150;71150;70151;71151;door-kencl-busway,Elevator,,"Park Street & North platform to lobby, busway","971, 948, 977, 976","To exit, exit the train at Copley, then cross Boylston St to the westbound platform. Take a Boston College, Cleveland Circle or Riverside-bound train to Kenmore and use Kenmore Elevator 971. See station personnel at the Copley westbound lobby to gain entry at the faregate. To board, use Kenmore Elevator 971 to access the westbound platform. Take a Cleveland Circle or Riverside-bound train one stop, then proceed to the eastbound platform and transfer to an eastbound train.",3A - Backtrack,3A - Backtrack,Copley,,,,,,KENMORE - Park St bound Platform to Lobby and Busway,Kenmore Elevator 972 (Park Street-bound platform to lobby and busway) is not working. See mbta.com for alt service.. .,,
20,948,G,place-kencl,Kenmore,70150;71150;70151;71151;door-kencl-beacon;door-kencl-commonwealth,Elevator,,Lobby to Commonwealth Avenue,972,"To exit, proceed up the ramp to the busway lobby and use Kenmore Elevator 972 to access the busway. To board, cross Commonwealth Ave to the busway and use Kenmore Elevator 972.",2 - Accessible route available,2 - Accessible route available,,,,,,,KENMORE - Lobby to Street,Kenmore Elevator 948 (lobby to street) is not working. Use Kenmore Elevator 972 at the busway.,,
11,756,R,place-knncl,Kenmore,70071;door-knncl-sbelevator,Elevator,,Ashmont/Braintree platform to Main Street,"757, 866, 821, 973, 951, 952",Please use nearby Kendall/MIT Elevator 757.,1 - Nearby,1 - Nearby,,,,,,"To exit, exit the train Charles/MGH, then take an Alewife-bound train to Kendall/MIT and use Kendall/MIT Elevator 866. To board, cross Main St and use Kendall/MIT Elevator 866 to access the Alewife platform. Take an Alewife-bound train to Harvard, then transfer to an Ashmont or Braintree-bound train. Alternatively, take a Route 68 bus to Harvard to access the Red Line.",KENDALL - Ashmont/Braintree Platform to Street,Kendal Elevator 863 (Ashmont/Braintree platform to street) is not working. See www.mbta.com for alt service.,42.362143,-71.08617
12,757,R,place-knncl,Kenmore,70071;door-knncl-sbelevator,Elevator,,Ashmont/Braintree platform to Main Street,"756, 866, 821, 973, 951, 952",Please use nearby Kendall/MIT Elevator 756.,1 - Nearby,1 - Nearby,,,,,,"To exit, exit the train Charles/MGH, then take an Alewife-bound train to Kendall/MIT and use Kendall/MIT Elevator 866. To board, cross Main St and use Kendall/MIT Elevator 866 to access the Alewife platform. Take an Alewife-bound train to Harvard, then transfer to an Ashmont or Braintree-bound train. Alternatively, take a Route 68 bus to Harvard to access the Red Line.",KENDALL - Ashmont/Braintree Platform to Street,Kendal Elevator 863 (Ashmont/Braintree platform to street) is not working. See www.mbta.com for alt service.,42.36211,-71.086174
28,866,R,place-knncl,Kendall/MIT,70072;door-knncl-nbmain,Elevator,,Alewife platform to Main Street,"863, 821, 973, 951, 952","To exit, exit the train at Harvard, then take an Ashmont or Braintree-bound train to Kendall/MIT and use Kendall/MIT Elevator 756 or 757 to access Main St. To board, cross Main St and use Kendall/MIT Elevator 756 or 757 to access the Ashmont/Braintree platform. Take an Ashmont or Braintree-bound train to Charles/MGH, then transfer to an Alewife-bound train.",3A - Backtrack,3A - Backtrack,Harvard,,,,,,KENDALL - Alewife Bound Platform to Street,Kendal Elevator 866 (Alewife-bound platform to street) is not working. See www.mbta.com for alt service.,42.362647,-71.086734
